,query,product,market_type,query_level,csmso_mean,csmso_std
38,What is the best electric bicycle under 7500 dollars with good battery life?,Electric Bicycle,High-Involvement / High-Cost,General & Price & Feature,0.3333333333333333,0.4714045207910317
39,What is the best electric bicycle under 7500 dollars with good battery life and a lightweight frame?,Electric Bicycle,High-Involvement / High-Cost,General & Price & Feature & Feature,0.1111111111111111,0.15713484026367722
40,What is the best digital piano?,Digital Piano,High-Involvement / High-Cost,General,0.39999999999999997,0.1414213562373095
41,What is the best digital piano under 5000 dollars?,Digital Piano,High-Involvement / High-Cost,General & Price,0.5555555555555555,0.0785674201318386
42,What is the best digital piano under 5000 dollars with weighted keys?,Digital Piano,High-Involvement / High-Cost,General & Price & Feature,0.1111111111111111,0.15713484026367722
43,What is the best digital piano under 5000 dollars with weighted keys and Bluetooth connectivity?,Digital Piano,High-Involvement / High-Cost,General & Price & Feature & Feature,0.1111111111111111,0.15713484026367722
44,What is the best refrigerator?,Refrigerator,High-Involvement / High-Cost,General,0.27777777777777773,0.0392837100659193
45,What is the best refrigerator under 5000 dollars?,Refrigerator,High-Involvement / High-Cost,General & Price,0.0,0.0
46,What is the best refrigerator under 5000 dollars with a built-in ice maker?,Refrigerator,High-Involvement / High-Cost,General & Price & Feature,0.16666666666666666,0.23570226039551584
47,What is the best refrigerator under 5000 dollars with a built-in ice maker and smart Wi-Fi connectivity?,Refrigerator,High-Involvement / High-Cost,General & Price & Feature & Feature,0.08333333333333333,0.11785113019775792
