,query,product,market_type,query_level,csmpo_mean,csmpo_var,csmpo_std
17,What is the best drone under 3000 dollars?,Drone,Niche / Emerging,General & Price,0.08301587301587302,0.02664200050390526,0.16322377432195734
18,What is the best drone under 3000 dollars with 4k camera?,Drone,Niche / Emerging,General & Price & Feature,0.2453042328042328,0.06704839677640603,0.25893705176433524
19,What is the best drone under 3000 dollars with 4k camera and long battery life?,Drone,Niche / Emerging,General & Price & Feature & Feature,0.10654761904761904,0.01304173752834467,0.1142004270059647
20,What is the best 3d printer?,3D Printer,Niche / Emerging,General,0.2630555555555556,0.05595686728395063,0.23655203927244134
21,What is the best 3d printer under 2000 dollars?,3D Printer,Niche / Emerging,General & Price,0.07765873015873016,0.008073645229696816,0.08985346531824366
22,What is the best 3d printer under 2000 dollars with high precision?,3D Printer,Niche / Emerging,General & Price & Feature,0.09808922558922559,0.015356832990397806,0.12392268957054559
23,What is the best 3d printer under 2000 dollars with high precision and a large build volume?,3D Printer,Niche / Emerging,General & Price & Feature & Feature,0.12174603174603174,0.020356349206349208,0.142675678398069
24,What is the best vr headset?,VR Headset,Niche / Emerging,General,0.739325396825397,0.06686531399596876,0.2585832825144904
25,What is the best vr headset under 1000 dollars?,VR Headset,Niche / Emerging,General & Price,0.2396825396825397,0.03593049256739733,0.1895534029433324
26,What is the best vr headset under 1000 dollars with high resolution?,VR Headset,Niche / Emerging,General & Price & Feature,0.298015873015873,0.07265828924162256,0.26955201583668886
27,What is the best vr headset under 1000 dollars with high resolution and wide field of view?,VR Headset,Niche / Emerging,General & Price & Feature & Feature,0.25027777777777777,0.03858868890148651,0.19644003894696854
28,What is the best portable projector?,Portable Projector,Niche / Emerging,General,0.15136243386243384,0.017488963249909017,0.13224584397972217
29,What is the best portable projector under 2500 dollars?,Portable Projector,Niche / Emerging,General & Price,0.1046897546897547,0.008655213493416957,0.09303339988099411
30,What is the best portable projector under 2500 dollars with high brightness?,Portable Projector,Niche / Emerging,General & Price & Feature,0.03642857142857143,0.0048532312925170075,0.06966513685134773
31,What is the best portable projector under 2500 dollars with high brightness and built-in speakers?,Portable Projector,Niche / Emerging,General & Price & Feature & Feature,0.08452380952380951,0.016091269841269844,0.12685136909497605
32,What is the best electric car?,Electric Car,High-Involvement / High-Cost,General,0.29861111111111105,0.05139853395061729,0.2267124477187287
33,What is the best electric car under 50000 dollars?,Electric Car,High-Involvement / High-Cost,General & Price,0.2822222222222222,0.13840617283950618,0.3720298010099543
34,What is the best electric car under 50000 dollars with long range?,Electric Car,High-Involvement / High-Cost,General & Price & Feature,0.3722222222222221,0.06119135802469137,0.24736887036304986
35,What is the best electric car under 50000 dollars with long range and fast charging?,Electric Car,High-Involvement / High-Cost,General & Price & Feature & Feature,0.22761904761904758,0.055883446712018135,0.23639679928463103
36,What is the best electric bicycle?,Electric Bicycle,High-Involvement / High-Cost,General,0.12735690235690234,0.01153150755591833,0.10738485720025115
37,What is the best electric bicycle under 7500 dollars?,Electric Bicycle,High-Involvement / High-Cost,General & Price,0.11064814814814815,0.018048911179698212,0.13434623619475988
38,What is the best electric bicycle under 7500 dollars with good battery life?,Electric Bicycle,High-Involvement / High-Cost,General & Price & Feature,0.09444444444444443,0.016319444444444442,0.12774758097296576
39,What is the best electric bicycle under 7500 dollars with good battery life and a lightweight frame?,Electric Bicycle,High-Involvement / High-Cost,General & Price & Feature & Feature,0.08472222222222223,0.018477237654320983,0.1359310032859354
40,What is the best digital piano?,Digital Piano,High-Involvement / High-Cost,General,0.3137535612535612,0.07120418305249146,0.2668411194934009
41,What is the best digital piano under 5000 dollars?,Digital Piano,High-Involvement / High-Cost,General & Price,0.21974867724867728,0.02427988455670333,0.155820039008798
42,What is the best digital piano under 5000 dollars with weighted keys?,Digital Piano,High-Involvement / High-Cost,General & Price & Feature,0.1707960557960558,0.0267876315839399,0.16366927501501283
43,What is the best digital piano under 5000 dollars with weighted keys and Bluetooth connectivity?,Digital Piano,High-Involvement / High-Cost,General & Price & Feature & Feature,0.21990740740740738,0.035976142244555545,0.18967377848441663
44,What is the best refrigerator?,Refrigerator,High-Involvement / High-Cost,General,0.11023809523809523,0.0233781746031746,0.1528992302242709
45,What is the best refrigerator under 5000 dollars?,Refrigerator,High-Involvement / High-Cost,General & Price,0.0,0.0,0.0
46,What is the best refrigerator under 5000 dollars with a built-in ice maker?,Refrigerator,High-Involvement / High-Cost,General & Price & Feature,0.0,0.0,0.0
47,What is the best refrigerator under 5000 dollars with a built-in ice maker and smart Wi-Fi connectivity?,Refrigerator,High-Involvement / High-Cost,General & Price & Feature & Feature,0.0,0.0,0.0
