url,cited_in_count,additional_in_count,cited_in_runs,additional_in_runs
"https://clideo.com/video-translator",7,7,"P021_r1 | P021_r2 | P021_r3 | P037_r1 | P075_r1 | P077_r1 | P077_r3","P018_r1 | P018_r3 | P026_r1 | P026_r2 | P026_r3 | P075_r2 | P077_r2"
"https://clipchamp.com/en/subtitle-generator/",3,1,"P018_r2 | P018_r3 | P021_r3","P021_r2"
"https://cliptics.com/ai-multi-voice-text-to-speech-free",7,1,"P002_r1 | P002_r2 | P005_r1 | P005_r2 | P017_r1 | P017_r2 | P017_r3","P005_r3"
"https://cliptics.com/transcribe-audio-to-text",3,1,"P031_r2 | P031_r3 | P065_r3","P031_r1"
"https://cloud.google.com/speech-to-text",2,3,"P029_r1 | P029_r2","P007_r1 | P007_r2 | P007_r3"
"https://cloud.google.com/text-to-speech",2,3,"P002_r2 | P005_r2","P005_r1 | P005_r3 | P017_r2"
"https://contentmavericks.com/best-ai-transcription-software/",2,4,"P064_r1 | P064_r2","P006_r3 | P009_r3 | P033_r2 | P064_r3"
"https://contentmavericks.com/best-machine-translation-software/",1,1,"P063_r2","P063_r3"
"https://contentmavericks.com/best-text-to-speech-software/",5,4,"P023_r3 | P041_r1 | P041_r3 | P052_r2 | P052_r3","P023_r1 | P023_r2 | P041_r2 | P052_r1"
"https://converter.app/audio-to-text/",1,1,"P033_r1","P033_r2"
"https://convertio.co/video-converter/",1,1,"P028_r1","P028_r3"
"https://convertixy.com/text-to-speech",1,1,"P011_r1","P011_r2"
"https://dayinterpreting.com/pricing",2,1,"P035_r1 | P035_r2","P035_r3"
"https://dev.to/raef_17/the-5-best-text-to-speech-platforms-in-2025-5alb",4,1,"P023_r3 | P041_r1 | P041_r2 | P041_r3","P023_r1"
"https://digitaltendances.com/tutoriels/applications-traduction-gratuite-ia-temps-reel/",1,3,"P019_r2","P019_r1 | P019_r3 | P050_r1"
"https://doculator.org/en/hub/10-best-video-translator-tools-in-2025",1,4,"P027_r1","P001_r2 | P001_r3 | P046_r1 | P076_r1"
"https://dubverse.ai/",1,1,"P012_r3","P012_r1"
"https://dubverse.ai/video-translator/",8,2,"P012_r1 | P020_r3 | P027_r2 | P027_r3 | P037_r2 | P037_r3 | P057_r2 | P077_r3","P037_r1 | P077_r1"
"https://easyssub.com/zh/%E5%B7%A5%E5%85%B7/%E8%A7%86%E9%A2%91%E7%BF%BB%E8%AF%91/",1,1,"P018_r3","P018_r1"
"https://ezdubs.ai/meetings-translator",2,4,"P044_r3 | P078_r2","P034_r2 | P044_r1 | P044_r2 | P078_r1"
"https://ezdubs.ai/phone-call-translator",2,4,"P048_r1 | P050_r3","P048_r2 | P048_r3 | P050_r1 | P050_r2"
"https://fakeyou.com/tts/",1,1,"P053_r3","P053_r1"
"https://fapremium.ir/blog/%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D8%A7%D8%A8%D8%B2%D8%A7%D8%B1%D9%87%D8%A7%DB%8C-%D8%AA%D8%A8%D8%AF%DB%8C%D9%84-%D8%B5%D8%AF%D8%A7-%D8%A8%D9%87-%D9%85%D8%AA%D9%86-%D8%AF%D8%B1-%D8%B3%D8%A7%D9%84/",1,2,"P058_r1","P058_r2 | P058_r3"
"https://fastscribe.org/",2,2,"P065_r1 | P065_r2","P031_r3 | P065_r3"
"https://flixier.com/tools/convert-audio-to-text",1,2,"P071_r2","P065_r3 | P071_r1"
"https://flixier.com/tools/translate-your-video-online",3,14,"P012_r2 | P027_r2 | P057_r1","P012_r1 | P018_r1 | P020_r2 | P020_r3 | P021_r1 | P021_r2 | P021_r3 | P037_r1 | P037_r2 | P037_r3 | P073_r1 | P073_r2 | P073_r3 | P075_r1"
"https://freeappsforme.com/apps-for-voice-translation/",2,2,"P014_r1 | P014_r3","P014_r2 | P042_r2"
"https://gaga.art/blog/ai-video-translator/",2,2,"P076_r1 | P076_r2","P073_r1 | P076_r3"
"https://geekflare.com/best/best-text-to-speech-converters/",8,2,"P023_r1 | P023_r3 | P041_r1 | P041_r2 | P041_r3 | P052_r1 | P052_r2 | P052_r3","P017_r1 | P023_r2"
"https://geekflare.com/best/best-transcription-software/",9,19,"P003_r2 | P033_r3 | P055_r3 | P066_r1 | P066_r2 | P066_r3 | P071_r1 | P071_r2 | P071_r3","P003_r1 | P004_r3 | P006_r1 | P006_r2 | P006_r3 | P009_r1 | P009_r2 | P009_r3 | P022_r3 | P031_r2 | P033_r1 | P033_r2 | P065_r2 | P070_r1 | P070_r2 | P070_r3 | P079_r1 | P079_r2 | P079_r3"
"https://hyprnote.com/blog/free-transcription-software/",1,1,"P003_r1","P065_r1"
"https://immersivetranslate.com/en/blog/6-best-video-translation-apps-for-computers-and-phones/",1,3,"P057_r2","P057_r1 | P074_r2 | P074_r3"
"https://immersivetranslate.com/en/video/",6,4,"P057_r1 | P057_r2 | P072_r2 | P072_r3 | P073_r2 | P077_r1","P021_r1 | P072_r1 | P073_r1 | P073_r3"
"https://influencermarketinghub.com/ai-transcription-tools/",1,1,"P009_r3","P004_r3"
"https://jens.marketing/transkriptionssoftware/",1,1,"P055_r1","P055_r2"
"https://jonasweckerle.de/ki-transkriptionssoftware-test/",1,2,"P055_r3","P055_r1 | P055_r2"
"https://kudo.ai/",4,1,"P038_r3 | P046_r3 | P051_r1 | P067_r1","P020_r1"
"https://learn.microsoft.com/en-us/azure/ai-services/speech-service/rest-speech-to-text",1,1,"P029_r2","P029_r1"
"https://lifestyle.assist-all.co.jp/live-translation-app-comparison-best-choice/",1,1,"P048_r1","P048_r2"
"https://lipsync.video/video-dubbing",2,5,"P012_r1 | P012_r2","P012_r3 | P020_r3 | P027_r3 | P037_r2 | P037_r3"
"https://lipsync.video/video-translate",2,15,"P001_r2 | P037_r3","P001_r1 | P001_r3 | P012_r1 | P020_r1 | P020_r2 | P020_r3 | P026_r2 | P026_r3 | P037_r1 | P037_r2 | P057_r3 | P075_r3 | P076_r2 | P077_r1 | P077_r3"
"https://live.maestra.ai/",6,4,"P020_r2 | P050_r2 | P051_r1 | P061_r1 | P061_r2 | P061_r3","P020_r1 | P040_r2 | P050_r1 | P050_r3"
"https://live.maestra.ai/zh/",1,1,"P007_r3","P063_r2"
"https://livetrans.pro/",5,1,"P007_r1 | P020_r1 | P020_r2 | P038_r3 | P046_r1","P007_r2"
"https://livetranslation.ai/",2,1,"P046_r2 | P061_r3","P007_r2"
"https://livevoice.io/en/ai-voice-translation",1,8,"P038_r3","P020_r1 | P020_r2 | P040_r1 | P040_r2 | P040_r3 | P042_r2 | P061_r1 | P061_r2"
"https://livevoice.io/en/simultaneous-interpretation",1,1,"P054_r1","P038_r3"
"https://lovo.ai/",2,1,"P030_r2 | P030_r3","P030_r1"
"https://maestra.ai/blogs/best-free-ai-transcription-tools",8,1,"P004_r3 | P009_r1 | P009_r2 | P022_r2 | P022_r3 | P039_r1 | P039_r2 | P039_r3","P070_r3"
"https://maestra.ai/blogs/best-live-translation-apps",13,9,"P038_r1 | P038_r3 | P046_r1 | P046_r2 | P046_r3 | P051_r1 | P051_r3 | P054_r2 | P060_r3 | P063_r1 | P063_r2 | P063_r3 | P068_r3","P032_r2 | P032_r3 | P044_r1 | P051_r2 | P060_r1 | P068_r1 | P068_r2 | P074_r2 | P074_r3"
"https://maestra.ai/blogs/best-real-time-captioning-services",1,1,"P043_r3","P016_r1"
"https://maestra.ai/blogs/best-real-time-translators-for-meetings",1,21,"P078_r1","P034_r1 | P034_r2 | P034_r3 | P043_r1 | P043_r2 | P044_r1 | P044_r2 | P044_r3 | P046_r2 | P046_r3 | P049_r3 | P050_r1 | P050_r2 | P051_r1 | P051_r3 | P054_r1 | P054_r2 | P054_r3 | P074_r1 | P078_r2 | P078_r3"
"https://maestra.ai/blogs/best-speech-translator-apps",19,3,"P014_r1 | P014_r2 | P014_r3 | P015_r1 | P015_r2 | P015_r3 | P038_r1 | P038_r2 | P038_r3 | P040_r1 | P040_r2 | P040_r3 | P042_r1 | P042_r2 | P042_r3 | P046_r1 | P068_r1 | P068_r2 | P068_r3","P050_r3 | P061_r1 | P074_r2"
"https://maestra.ai/blogs/top-10-video-translator-apps",1,7,"P077_r3","P057_r1 | P057_r2 | P057_r3 | P073_r2 | P075_r3 | P077_r1 | P077_r2"
"https://maestra.ai/tools/add-subtitles-to-videos",3,2,"P018_r1 | P021_r2 | P021_r3","P018_r2 | P018_r3"
"https://maestra.ai/tools/audio-translator",2,2,"P061_r1 | P061_r2","P061_r3 | P075_r2"
"https://maestra.ai/tools/live-voice-translator/french",1,1,"P040_r3","P040_r1"
"https://maestra.ai/tools/real-time-translator",2,7,"P020_r1 | P020_r3","P020_r2 | P034_r3 | P047_r1 | P047_r2 | P047_r3 | P063_r2 | P077_r2"
"https://maestra.ai/tools/video-translator",6,2,"P012_r2 | P027_r2 | P037_r1 | P037_r2 | P037_r3 | P057_r3","P026_r2 | P076_r3"
"https://maestra.ai/tools/video-translator/spanish-to-english",2,1,"P026_r3 | P075_r3","P026_r2"
"https://maestra.ai/tr/araclar/gercek-zamanli-ceviri",1,2,"P060_r3","P060_r1 | P060_r2"
"https://marketplace.zoom.us/apps/wqXHyNXhRQy0V5CeVTGScw",2,1,"P034_r3 | P044_r2","P044_r1"
"https://microsoftedge.microsoft.com/addons/detail/speech-translator/jmiekopdidkclpmpandbfblpefalpldo",1,1,"P068_r3","P049_r2"
"https://microsoftedge.microsoft.com/addons/detail/speechify-text-to-speech-/ogapibpahpkbcdidopigillpmndjemnj?form=MT001Y",1,1,"P069_r3","P069_r2"
"https://mobo.news/best-speech-to-text-apps/",1,2,"P058_r1","P058_r2 | P058_r3"
"https://murf.ai/",1,1,"P030_r1","P030_r3"
"https://murf.ai/alternative/google-tts",1,2,"P041_r2","P041_r1 | P041_r3"
"https://murf.ai/blog/best-voice-translation-apps",2,16,"P015_r1 | P046_r3","P014_r1 | P014_r2 | P014_r3 | P015_r2 | P015_r3 | P038_r1 | P038_r2 | P040_r1 | P040_r2 | P040_r3 | P042_r1 | P042_r2 | P042_r3 | P068_r1 | P068_r2 | P068_r3"
"https://murf.ai/blog/top-speech-to-text-softwares",4,3,"P010_r1 | P010_r2 | P010_r3 | P024_r1","P024_r2 | P079_r2 | P079_r3"
"https://musely.ai/tools/dialogue-text-to-speech",3,4,"P002_r2 | P005_r2 | P017_r3","P005_r1 | P005_r3 | P017_r1 | P017_r2"
"https://musely.ai/tools/multi-voice-text-to-speech",2,3,"P005_r1 | P005_r3","P002_r1 | P002_r2 | P005_r2"
"https://musely.ai/tools/voiceover-ai",2,1,"P030_r1 | P030_r3","P030_r2"
"https://mymeet.ai/blog/top-speech-to-text-apps",1,1,"P010_r1","P024_r2"
"https://nerdynav.com/open-source-ai-voice/",1,3,"P041_r2","P041_r1 | P041_r3 | P053_r2"
"https://netkurdu.net/konusurken-en-iyi-anlik-sesli-ceviri-yapan-uygulamalar.html/",4,2,"P038_r2 | P060_r1 | P060_r2 | P060_r3","P038_r1 | P038_r3"
"https://noiz.io/blog/the-7-best-translation-extensions-for-chrome/",1,2,"P047_r1","P047_r2 | P047_r3"
"https://notegpt.io/blog/best-free-audio-transcript-tools-2025",1,4,"P070_r3","P009_r1 | P065_r1 | P070_r1 | P070_r2"
"https://notegpt.io/blog/transcribe-audio-to-text",2,4,"P066_r1 | P066_r3","P006_r2 | P066_r2 | P071_r1 | P071_r3"
"https://notize.ai/blog/best-free-transcription-software",1,2,"P039_r1","P022_r2 | P039_r2"
"https://otter.ai/free-ai-transcription",3,2,"P022_r2 | P039_r1 | P039_r2","P022_r3 | P039_r3"
"https://perso.ai/blog/ai-video-translator-tools-for-agencies-side-by-side-comparisons",2,1,"P027_r1 | P027_r3","P027_r2"
"https://play.google.com/store/apps/details?hl=en-US&id=com.erudite.translator",4,2,"P015_r2 | P038_r2 | P040_r2 | P050_r3","P014_r1 | P050_r1"
"https://play.google.com/store/apps/details?hl=en-US&id=com.naturalsoft.personalweb",1,1,"P025_r1","P025_r3"
"https://polypal.ai/",4,1,"P034_r3 | P051_r1 | P063_r1 | P063_r2","P043_r2"
"https://prismascribe.ai/transcribe/persian",2,1,"P058_r2 | P058_r3","P058_r1"
"https://qwen-tts.com/dialogue",1,2,"P017_r1","P002_r1 | P005_r2"
"https://rapidapi.com/thefishstick/api/ai-voice-text-to-speech-with-celebrities",1,1,"P053_r1","P053_r3"
"https://realtimetts.com/dialogue-tts",4,4,"P002_r1 | P017_r1 | P017_r2 | P017_r3","P002_r2 | P005_r1 | P005_r2 | P005_r3"
"https://reccloud.com/live-video-translator",1,2,"P020_r3","P020_r1 | P020_r2"
"https://recordingbase.com/ai-audio-transcription-tools/",2,4,"P009_r2 | P009_r3","P004_r3 | P009_r1 | P033_r2 | P033_r3"
"https://research.google/blog/real-time-speech-to-speech-translation/",1,2,"P007_r3","P007_r1 | P007_r2"
"https://restream.io/tools/transcribe-audio-to-text",6,2,"P006_r1 | P009_r2 | P022_r2 | P022_r3 | P033_r2 | P071_r2","P006_r2 | P009_r1"
"https://reverieinc.com/blog/best-speech-to-text-apis/",2,1,"P024_r2 | P029_r2","P029_r1"
"https://riverside.com/blog/best-transcription-services",2,5,"P066_r1 | P066_r2","P006_r2 | P066_r3 | P071_r1 | P071_r2 | P071_r3"
"https://riverside.com/transcription",2,6,"P022_r2 | P039_r2","P022_r3 | P039_r3 | P065_r1 | P065_r2 | P065_r3 | P070_r1"
"https://screenapp.io/blog/10-best-real-time-subtitle-caption-tools",1,6,"P044_r2","P043_r1 | P043_r2 | P043_r3 | P044_r1 | P044_r3 | P049_r3"
"https://screenapp.io/blog/best-ai-video-translator",4,15,"P027_r3 | P037_r1 | P046_r1 | P076_r1","P001_r2 | P001_r3 | P027_r1 | P027_r2 | P037_r2 | P037_r3 | P057_r1 | P057_r2 | P073_r1 | P073_r2 | P075_r3 | P076_r2 | P076_r3 | P077_r1 | P077_r2"
"https://screenapp.io/blog/best-free-audio-to-text-converter",3,7,"P070_r1 | P070_r2 | P070_r3","P022_r3 | P031_r2 | P065_r1 | P065_r2 | P071_r1 | P071_r2 | P071_r3"
"https://screenapp.io/blog/best-real-time-translators",12,21,"P014_r2 | P019_r3 | P032_r1 | P032_r3 | P042_r1 | P042_r2 | P042_r3 | P051_r1 | P051_r2 | P051_r3 | P060_r1 | P060_r2","P014_r3 | P015_r1 | P015_r2 | P015_r3 | P019_r1 | P019_r2 | P032_r2 | P038_r1 | P038_r2 | P040_r1 | P040_r2 | P040_r3 | P048_r3 | P054_r1 | P054_r2 | P054_r3 | P060_r3 | P063_r1 | P068_r1 | P068_r2 | P068_r3"
"https://screenapp.io/features/ai-voice-changer",1,2,"P008_r3","P008_r1 | P008_r2"
"https://screenapp.io/features/audio-translator",1,14,"P068_r2","P015_r3 | P020_r1 | P020_r2 | P020_r3 | P038_r2 | P040_r1 | P040_r2 | P040_r3 | P050_r1 | P050_r2 | P050_r3 | P061_r1 | P061_r2 | P068_r3"
"https://screenapp.io/features/online-live-caption-tool",1,5,"P016_r1","P007_r1 | P007_r2 | P007_r3 | P016_r2 | P016_r3"
"https://screenapp.io/fr/blog/best-real-time-translators",2,2,"P019_r1 | P019_r2","P019_r3 | P050_r1"
"https://screenapp.io/translator",11,4,"P001_r1 | P001_r2 | P001_r3 | P026_r1 | P037_r1 | P057_r2 | P057_r3 | P074_r3 | P075_r3 | P076_r3 | P077_r2","P074_r1 | P074_r2 | P075_r2 | P077_r3"
"https://smallest.ai/blog/5-best-ai-text-to-speech-tools-for-celebrity-voices",1,1,"P053_r1","P053_r3"
"https://sonix.ai/pricing",1,1,"P003_r1","P003_r3"
"https://sonix.ai/resources/best-ai-tools-for-transcription/",5,8,"P004_r3 | P006_r1 | P064_r1 | P064_r2 | P064_r3","P006_r3 | P009_r1 | P009_r2 | P009_r3 | P033_r3 | P039_r3 | P066_r3 | P079_r2"
"https://sonix.ai/resources/best-transcription-apps-for-speech-to-text/",4,5,"P009_r2 | P024_r2 | P033_r3 | P064_r3","P006_r1 | P006_r2 | P009_r1 | P033_r1 | P033_r2"
"https://soundwise.ai/audio-to-text",3,3,"P031_r1 | P031_r3 | P065_r1","P031_r2 | P065_r2 | P065_r3"
"https://soundwise.ai/speech-to-text",4,1,"P006_r1 | P006_r2 | P033_r2 | P070_r2","P022_r3"
"https://soundwise.ai/text-to-speech",1,1,"P025_r1","P011_r2"
"https://sourceforge.net/software/product/Doctranslate.io/alternatives",1,1,"P046_r1","P046_r2"
"https://sourceforge.net/software/transcription/",1,2,"P055_r2","P055_r1 | P055_r3"
"https://speaktor.com/best-free-text-to-speech-apps/",2,2,"P025_r1 | P025_r3","P023_r1 | P025_r2"
"https://speechgen.io/en/node/multi-voice/",5,3,"P002_r2 | P005_r1 | P005_r3 | P017_r1 | P017_r2","P002_r1 | P005_r2 | P017_r3"
"https://speechify.com/blog/10-best-speech-to-text-apis/",1,4,"P010_r1","P010_r2 | P024_r2 | P029_r1 | P029_r2"
"https://speechify.com/text-to-speech-online/",4,5,"P011_r2 | P025_r1 | P025_r3 | P052_r2","P011_r1 | P025_r2 | P069_r1 | P069_r2 | P069_r3"
"https://speechify.com/voice-changer/",1,4,"P030_r1","P008_r1 | P008_r2 | P030_r2 | P030_r3"
"https://speechnotes.co/",7,1,"P033_r3 | P065_r1 | P065_r2 | P065_r3 | P070_r1 | P070_r2 | P071_r2","P016_r2"
"https://speeek.io/en",4,3,"P012_r2 | P012_r3 | P027_r3 | P037_r3","P012_r1 | P020_r3 | P037_r2"
"https://sublango.com/",1,1,"P072_r1","P049_r1"
"https://subtitles.felo.me/",3,3,"P034_r3 | P043_r2 | P044_r2","P049_r1 | P049_r2 | P049_r3"
"https://support.apple.com/en-us/123720",1,1,"P048_r3","P048_r1"
"https://support.apple.com/guide/iphone/translate-messages-calls-and-conversations-iph22b72984d/ios",1,1,"P048_r2","P048_r3"
"https://support.apple.com/guide/mac-help/translate-messages-and-calls-mchl58dfbdba/mac",1,1,"P074_r2","P074_r1"
"https://support.microsoft.com/en-us/office/interpreter-in-microsoft-teams-meetings-c7efe2bb-535d-42ab-a5c4-d2d91619b46d",1,1,"P034_r2","P044_r3"
"https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0059081",3,2,"P043_r2 | P044_r2 | P067_r3","P043_r1 | P078_r3"
"https://tactiq.io/learn/best-free-ai-transcription-tools",1,3,"P039_r3","P022_r2 | P022_r3 | P039_r1"
"https://tactiq.io/learn/free-automatic-transcription-tools",1,1,"P039_r3","P070_r1"
"https://tactiq.io/learn/top-tools-for-live-meeting-translation-2025",10,6,"P034_r1 | P034_r3 | P044_r1 | P044_r2 | P044_r3 | P054_r1 | P054_r2 | P078_r1 | P078_r2 | P078_r3","P034_r2 | P043_r2 | P046_r1 | P046_r3 | P054_r3 | P074_r1"
"https://talkpersona.com/translator",12,3,"P015_r3 | P020_r1 | P020_r2 | P038_r3 | P040_r1 | P040_r2 | P040_r3 | P050_r1 | P050_r2 | P050_r3 | P061_r3 | P068_r2","P020_r3 | P038_r1 | P038_r2"
"https://taloai.com/",8,1,"P034_r1 | P034_r2 | P043_r2 | P044_r1 | P044_r2 | P078_r1 | P078_r2 | P078_r3","P034_r3"
"https://tech.co/news/best-free-ai-transcribers",1,4,"P039_r3","P022_r2 | P022_r3 | P039_r1 | P039_r2"
"https://technicalwall.com/software-reviews/best-audio-to-text-converter/",5,6,"P009_r3 | P066_r1 | P066_r2 | P066_r3 | P070_r1","P033_r1 | P065_r2 | P070_r2 | P070_r3 | P071_r1 | P071_r2"
"https://texttospeechrobot.com/tts-dialogue/",4,1,"P002_r2 | P005_r2 | P005_r3 | P017_r3","P005_r1"
"https://theaisurf.com/best-ai-text-to-speech-software/",4,2,"P023_r1 | P041_r1 | P052_r1 | P052_r3","P023_r2 | P052_r2"
"https://topbusinesssoftware.com/categories/video-translation/mac/",1,2,"P074_r2","P074_r1 | P074_r3"
"https://tr.vidabytes.com/7-ger%C3%A7ek-zamanl%C4%B1-konu%C5%9Fma-%C3%A7evirmeni-uygulamas%C4%B1/",2,2,"P060_r1 | P060_r3","P038_r1 | P060_r2"
"https://transcribetotext.ai/transcription/persian-speech-to-text",2,1,"P058_r2 | P058_r3","P058_r1"
"https://transcriptionq.com/",2,1,"P065_r1 | P065_r2","P065_r3"
"https://transgate.ai/blog/best-audio-to-text-api",1,2,"P029_r1","P024_r2 | P029_r2"
"https://translators-usa.com/our-services/live-interpretation/",1,1,"P035_r3","P035_r2"
"https://tripleareview.com/best-ai-transcription/",1,1,"P039_r1","P039_r3"
"https://turboscribe.ai/",9,7,"P004_r3 | P006_r1 | P006_r2 | P009_r1 | P033_r1 | P033_r2 | P071_r1 | P071_r2 | P071_r3","P031_r1 | P031_r2 | P031_r3 | P065_r1 | P065_r2 | P065_r3 | P070_r2"
"https://turboscribe.ai/fa/u/tools/convert-persian-audio-to-text",1,2,"P058_r1","P058_r2 | P058_r3"
"https://turboscribe.ai/u/tools/free-ai-transcription-tool",6,1,"P009_r2 | P022_r2 | P022_r3 | P039_r1 | P039_r2 | P039_r3","P070_r1"
"https://typecast.ai/learn/text-to-speech-software/",1,4,"P023_r2","P023_r1 | P023_r3 | P041_r2 | P052_r3"
"https://typito.com/video-translator",4,6,"P018_r1 | P018_r2 | P021_r2 | P075_r1","P021_r3 | P026_r1 | P026_r2 | P026_r3 | P075_r2 | P075_r3"
"https://unifab.ai/resource/free-video-translator",1,6,"P076_r2","P057_r1 | P057_r2 | P073_r1 | P073_r2 | P073_r3 | P077_r2"
"https://usefulai.com/tools/ai-transcription",10,17,"P004_r3 | P006_r1 | P006_r2 | P006_r3 | P009_r1 | P009_r3 | P033_r3 | P064_r3 | P071_r3 | P079_r1","P009_r2 | P016_r1 | P016_r2 | P022_r2 | P022_r3 | P033_r1 | P033_r2 | P039_r1 | P039_r2 | P039_r3 | P064_r1 | P064_r2 | P066_r1 | P066_r2 | P066_r3 | P071_r2 | P079_r3"
"https://usefulai.com/tools/ai-video-translators",3,22,"P001_r2 | P001_r3 | P076_r3","P001_r1 | P012_r1 | P012_r2 | P020_r2 | P020_r3 | P026_r2 | P026_r3 | P037_r1 | P037_r2 | P057_r1 | P057_r2 | P057_r3 | P073_r1 | P073_r2 | P074_r1 | P074_r2 | P075_r3 | P076_r1 | P076_r2 | P077_r1 | P077_r2 | P077_r3"
"https://vibe-voice.io/text-to-speech",3,4,"P002_r1 | P005_r3 | P017_r3","P005_r1 | P005_r2 | P017_r1 | P017_r2"
"https://vibevoice.cc/",1,1,"P005_r2","P002_r1"
"https://vibevoice.io/",3,4,"P002_r2 | P005_r1 | P017_r1","P002_r1 | P005_r2 | P005_r3 | P017_r2"
"https://vidby.com/vidby-call-translator",3,6,"P078_r1 | P078_r2 | P078_r3","P034_r1 | P034_r2 | P034_r3 | P043_r1 | P043_r2 | P050_r2"
"https://videodubber.ai/",3,2,"P012_r1 | P012_r2 | P012_r3","P037_r2 | P037_r3"
"https://videotranslator.blipcut.com/",3,1,"P001_r1 | P021_r3 | P076_r3","P021_r2"
"https://videotranslator.io/video-translator",3,1,"P075_r1 | P075_r2 | P075_r3","P026_r1"
"https://videotranslator.org/",1,2,"P018_r1","P021_r1 | P021_r3"
"https://voicape.com/",5,3,"P002_r1 | P002_r2 | P005_r3 | P017_r1 | P017_r2","P005_r1 | P005_r2 | P017_r3"
"https://voice.ai/",3,2,"P008_r1 | P030_r2 | P030_r3","P008_r2 | P008_r3"
"https://voice.ai/hub/tts/best-free-text-to-speech/",3,4,"P025_r2 | P041_r2 | P052_r2","P025_r1 | P025_r3 | P052_r1 | P052_r3"
